OBJECTID,NAME_OF_SE,ALT_NAME,STREETNAME,WARD_S,PLANNING_U,LATITUDE,LONGITUDE,REGION,WATER_SUPP,SANITATION,REFUSE,ELECTRIC_2,UNIREFCODE,EST_HHC,NUSP_CAT,Shape__Area,Shape__Length
1,Amatikwe, ,MR93 North,56/108,Amatikwe,"-29,6847594568261","30,9331993743659",Northern,Standpipes,Pit Privies,C&SW contractor,Yes,I0005,3250,B1,2393432.72637367,22801.6891963431
2,Congo Phase 2,Congo Phase 2,MR93 /MR93 North,55/57,Inanda Congo,"-29,6930565996813","30,9524428875002",Northern,Standpipes,Ablution Facility & Pit Privies,C&SW contractor,Yes,I0037,758,B1,289493.051002502,4460.07099986089
3,Africa Inanda,Africa,Curnick Ndlovu Highway,55,Ohlange-Africa / Stop 8,"-29,700492743755","30,9486579023242",Northern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0002,627,B1,283133.847540855,2289.97414706251
4,Namibia, ,Curnick Ndlovu Highway / Matshana Road,108/44,Inanda Namibia,"-29,703771886581","30,9335017254606",Northern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0145,1508,B1,678203.426504135,3987.69881752246
5,Mshayazafe, ,Sidudla Road,55,Mshayazafe / Ohlange - Africa,"-29,7066784039778","30,9469610275001",Northern,Standpipes,Pit Privies,C&SW contractor,Yes,I0140,349,B1,139377.974132538,1965.57799314056
6,Ntuzuma - E1, ,Ithendele Drive,44/43,Emachobeni / Ntuzuma - E / Inanda Glebe,"-29,7226600304074","30,9207622047174",Northern,Standpipes,Pit Privies,C&SW contractor,Yes,I0151,261,B1,183113.950258255,2348.36838445554
7,Ntuzuma - E8, ,121829 Street,44/43,Emachobeni / Ntuzuma - E,"-29,7275669099481","30,9221578087933",Northern,Standpipes,Pit Privies,C&SW contractor,Yes,I0152,402,B1,245121.230789185,2551.64508459796
8,Smithfield, ,Smithfield Road,34,Sea Cow Lake,"-29,7928102569667","31,0028647844833",Northern,Ablution Facility Taps & 1 Standpipe,Ablution Facility,C&SW contractor,Planned,I0190,235,B1,50473.1099002361,1047.26167915698
9,Johanna Road, ,Johanna Road / Boxwood Place,34,Sea Cow Lake,"-29,7974985831216","30,9946111650077",Northern,Ablution Facility Taps & 1 Standpipe,Ablution Facility,C&SW contractor,Planned,I0579,488,C,26742.0843194723,806.882585288073
10,Triumph/ Myhill Roads (Jamaica), ,Triumph Road / Myhill Road / Maynard Road,34,Sea Cow Lake,"-29,7981610430836","31,0016123135001",Northern,Ablution Facility Taps & 1 Standpipe,Ablution Facility,C&SW contractor,Yes,I0200,922,B1,77842.5098996758,1954.62394268296
11,Gumtree Road (Kenville), ,Gumtree Road,34,Sea Cow Lake,"-29,7988205376058","31,0051515688531",Northern,Ablution Facility Taps & 1 Standpipe,Ablution Facility,C&SW contractor,Planned,I0083,416,B1,36745.8826546669,1020.08345087964
12,Mysore Road (Temple), ,Mysore Road (Temple),34,Sea Cow Lake,"-29,8006240606941","31,0013601092544",Northern,Ablution Facility Taps & 1 Standpipe,Ablution Facility,C&SW contractor,Yes,I0143,376,B2,34185.3205147162,1191.93959363262
13,Richmond Farm A, ,Dukuza Road / Ingcebo Drive,38,Ntuzuma - A / Ntuzuma - C,"-29,7466633962258","30,9357411787946",Northern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0172,291,B1,86605.6944408417,1975.87886670598
14,Siyasokola, ,Sea Cow Lake Road,34,Sea Cow Lake,"-29,8013870001236","30,9921383114105",Northern,Ablution Facility Taps,Ablution Facility & VIP toilets,C&SW contractor,Planned,I0585,279,B2/C,23515.2465755939,775.281182481944
15,Ntuzuma - G, ,Umbeza Way / Mbuso Road,42,Ntuzuma - G / Soweto,"-29,7198114869858","30,9424533033161",Northern,Standpipes,Pit Privies,C&SW contractor,Yes,I0153,306,B1,36569.6159667969,1007.80187244022
16,Parkington,Thandanani,Parkington Grove / Park Station Road,34,Kenville,"-29,783257408305","31,0103712783198",Northern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Planned,I0156,268,B1,19483.6844103336,875.255925619864
